Experiment	Replicate	Modality	Genome
ENCSR443NJZ	1	10x	GRCh38
ENCSR287GYJ	1	10x	GRCh38
ENCSR675DJV	1	10x	GRCh38
ENCSR338KBR	1	10x	GRCh38
ENCSR690NZI	1	multiome	GRCh38
ENCSR110IID	1	10x	GRCh38
ENCSR438DII	1	10x	GRCh38
ENCSR251LFB	1	10x	GRCh38
ENCSR828HVB	1	multiome	GRCh38
ENCSR824OCY	1	multiome	GRCh38
ENCSR197GLE	1	multiome	GRCh38
ENCSR737VYM	1	10x	GRCh38
ENCSR810IIV	1	10x	GRCh38
ENCSR997YJI	1	ren	mm10
ENCSR997YJI	2	ren	mm10
ENCSR205OEF	1	ren	mm10
ENCSR205OEF	2	ren	mm10
ENCSR836VNN	1	ren	mm10
ENCSR836VNN	2	ren	mm10
ENCSR374QZJ	1	ren	mm10
ENCSR374QZJ	2	ren	mm10
ENCSR580SVE	1	ren	mm10
ENCSR580SVE	2	ren	mm10
ENCSR937PSF	1	ren	mm10
ENCSR937PSF	2	ren	mm10
ENCSR750EXW	1	ren	mm10
ENCSR750EXW	2	ren	mm10
#ENCSR837KAC	1	?	mm10
#ENCSR478JTT	1	?	mm10
#ENCSR880JAU	1	?	mm10
